Symbol,Description,Price,Price - Currency,"Performance %, 3 months","Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
ARCT,Arcturus Therapeutics Holdings Inc.,16.93,USD,123.94179894179896,150.8148148148148,110.83437110834372,8.525641025641026,8.327187579107271,1301428,1292397.0666666667,1.5844514286723048,481202569.67371786,USD,-96.4096287229757,-82.94748729532144,Health technology,Pharmaceuticals: major,2026-11-11
ATRC,"AtriCure, Inc.",59.12,USD,115.2949745083758,101.77474402730374,30.70970594738006,3.4651732586629276,3.492883723178096,1503637,883901.0666666667,1.1980361805035007,3007215319.738187,USD,12.828799976494611,13.936705164157729,Health technology,Medical specialties,2026-11-04
FGI,FGI Industries Ltd.,9.9,USD,114.75054229934923,172.72727272727272,11.48648648648648,9.03083700440529,7.826984126984122,44856,3627400.1,0.8059884930660122,19119582.15859031,USD,2.8623929214091373,-5.297515246984658,Producer manufacturing,Building products,2026-11-11
RNG,"RingCentral, Inc.",74.78,USD,112.08167895632447,101.1837503362927,16.84375,1.6861571933641486,3.9434340732816002,1126795,1460347.8333333333,0.8137392553516158,6244590997.24422,USD,5.901534176448022,5.219097694332156,Technology services,Packaged software,2026-11-09
CVI,CVR Energy Inc.,54.14,USD,97.4471188913202,67.35703245749613,46.443061942115236,2.0546654099905814,4.880204760145629,951783,1028756.8666666667,0.7593154423251007,5442726687.06164,USD,55.47984099943214,17.879504661193824,Energy minerals,Oil refining/Marketing,2026-11-02
NTSK,"Netskope, Inc.",17.21,USD,95.79067121729241,84.26124197002143,14.73333333333334,-0.462695199537295,6.292230430812755,7298770,5749326.133333334,0.902715226385455,7031795095.381724,USD,29.154124550533506,30.401356919117745,Technology services,Packaged software,2026-12-11
DK,"Delek US Holdings, Inc.",81.55,USD,95.56354916067144,83.42330184435447,19.55724967013635,3.0192016169782727,5.001059823070843,1871186,1755694.6333333333,0.8919534632478293,4993484014.446691,USD,47.83332127613398,11.40114205458947,Energy minerals,Oil refining/Marketing,2026-11-11
PLSE,"Pulse Biosciences, Inc",50.61,USD,93.24169530355097,125.43429844097996,8.141025641025646,2.0157226365652083,8.878044993931269,571311,589813.2666666667,0.7029362310202875,3609637282.8165693,USD,,,Health technology,Medical specialties,2026-11-16
GTLB,GitLab Inc.,50.27,USD,92.45788667687596,119.80760822037604,24.18478260869567,3.0756612671724417,4.402853164341194,3887000,5502719.033333333,0.5625611651392872,8375736128.3375025,USD,21.31462959823699,22.987433955710536,Technology services,Packaged software,2026-12-07
SDGR,"Schrodinger, Inc.",30.24,USD,91.63498098859316,147.2608340147179,74.69670710571924,26.36857501044713,5.389503023431604,8904235,1510305.8666666667,6.231960406539298,2262122180.5599666,USD,7.54213919173104,8.87620472685854,Technology services,Packaged software,2026-11-11
RNXT,"RenovoRx, Inc.",1.73,USD,90.1098901098901,67.96116504854369,42.97520661157025,11.612903225806448,15.800578034682056,634411,1221219.3333333333,0.3438526909448256,78074048.39354838,USD,115.40284360189574,198.48942598187313,Health technology,Pharmaceuticals: major,2026-11-16
NEO,"NeoGenomics, Inc.",19.89,USD,87.99621928166351,144.04907975460122,24.002493765586042,5.015839493136216,4.047008547008519,2002381,1673020.9333333333,1.2950312019205241,2555376441.1108766,USD,11.209397231566756,11.187932482961859,Health services,Medical/Nursing services,2026-11-10
DLXY,Delixy Holdings Limited,0.8448,USD,86.86131386861312,19.406360424028264,92.87671232876713,-63.109170305676855,42.21708434794368,16226934,8965793.766666668,0.6554519950834963,37441499,USD,,0.3202445621849936,Distribution services,Wholesale distributors,
CHYM,"Chime Financial, Inc.",30.72,USD,83.95209580838323,60.66945606694559,-1.6015374759769379,-1.6960000000000037,4.692150297618987,5215235,9208292.4,0.6428945692402925,11630134131.425278,USD,10.605790483639382,17.506383731807418,Technology services,Packaged software,2026-11-11
AVAH,Aveanna Healthcare Holdings Inc.,13.97,USD,83.09305373525558,131.67495854063017,10.173501577287073,-2.0336605890603026,3.758257490540952,3024747,3628969.3666666667,0.9519160068576414,3049520847.7994394,USD,13.727349364688163,19.52305030325963,Health services,Medical/Nursing services,2026-11-05
WGS,GeneDx Holdings Corp.,104.95,USD,82.8397212543554,44.30083871854805,37.38709255138107,7.729419010470131,4.586748587762983,826175,561744.2999999993,1.5312575411433627,3129875544.1285157,USD,11.440034277256261,25.420828491862192,Health services,Medical/Nursing services,2026-11-03
ASST,"Strive, Inc.",28.28,USD,81.86495176848874,174.2967992240543,114.56752655538698,3.17402407880336,7.1124217013537505,9652796,8491171.066666668,0.975425931770985,2637465372.608537,USD,-19.196116796241466,650.3060458871381,Finance,Financial conglomerates,2026-11-13
GTEC,Greenland Technologies Holding Corporation,1.08,USD,81.78757784884702,48.14814814814816,24.13793103448277,-1.8181818181818195,7.647162698412734,54025,814842.3666666667,0.2725980091389082,28667760.545454547,USD,37.55811406244979,25.871164086392888,Producer manufacturing,Industrial machinery,2026-11-05
SY,So-Young International Inc. - American Depository Shares,2.78,USD,78.20512820512819,-5.119453924914688,23.555555555555546,-1.067615658362998,7.2595066803699595,327678,799534.0333333333,0.6350416525757542,282726393,USD,41.74897133284622,30.17546889785062,Technology services,Internet software/Services,2026-11-23
VSTM,"Verastem, Inc.",7.55,USD,78.06603773584904,31.53310104529616,5.1532033426183865,3.1420765027322344,5.26764427625358,1733756,2169130.2333333315,0.633979972993918,683753976.3319672,USD,1775.4328497894246,3995.7416939635004,Health technology,Biotechnology,2026-11-11
DINO,HF Sinclair Corporation,116.62,USD,77.28792946184251,92.79219705736485,22.23037417461483,2.3251732912169922,3.605109390695068,2477609,2437448.966666667,1.037383304746359,20733152108.629814,USD,53.15448113207547,16.25539972603217,Energy minerals,Oil refining/Marketing,2026-10-29
CLMT,"Calumet, Inc",59.05,USD,76.0059612518629,103.48035837353548,20.264765784114044,1.7927943458024465,3.9542397483972787,1293321,1299347.5333333334,0.9829063109342808,5190390420.118945,USD,40.76563413208652,12.799724842767295,Energy minerals,Oil refining/Marketing,2026-11-06
CRDL,Cardiol Therapeutics Inc.,1.86,USD,75.47169811320754,95.78947368421055,2.1978021978021998,-2.105263157894727,7.481182795698858,579695,1511245.4,0.39684441278363464,217290156.68702292,USD,,,Health technology,Biotechnology,2026-11-12
VLO,Valero Energy Corporation,412.53,USD,74.12206652034442,69.61884790921424,17.857295907435184,2.2936917278317797,3.2184966634461105,3219170,2694166.7666666717,0.9940512616805736,118778714597.31601,USD,49.03968413303888,12.921579878930906,Energy minerals,Oil refining/Marketing,2026-10-22
MPC,Marathon Petroleum Corporation,421.96,USD,73.74619122127973,78.72088098263448,16.22321379386327,1.9424043293389939,3.005178215944616,2507848,2530844.9,1.0244135652994573,118496810100.13654,USD,53.101604278074866,15.187181048153745,Energy minerals,Oil refining/Marketing,2026-11-03
ODD,ODDITY Tech Ltd.,19.27,USD,73.6036036036036,38.633093525179845,60.04983388704319,6.229327453142221,7.713173697086363,1690350,1423284.5333333334,0.6618952464969008,888820102.9327452,USD,-25.14016753753007,-9.67860781481511,Technology services,Packaged software,2026-11-11
INSP,"Inspire Medical Systems, Inc.",72.74,USD,73.56239560963971,33.004205522033274,26.901605024424278,-0.013745704467360984,4.41529518048597,563753,612584.9333333333,0.667310674759657,2102940721.243986,USD,-7.602977621772017,4.345695868628325,Health technology,Medical specialties,2026-11-09
ECO,Okeanis Eco Tankers Corp.,86.3,USD,72.6,81.68421052631578,39.463477698771804,1.840925182912441,3.158748551564293,948253,621437.9333333333,1.4022791604008562,3309498121.0042486,USD,239.39574676290653,105.24219735077509,Transportation,Marine shipping,2026-11-11
VEEV,Veeva Systems Inc.,263.75,USD,72.04827136333984,43.18675352877308,8.463215034749359,-0.43412608531520475,3.115179417738408,1099379,1761124.3666666667,0.8981274901374829,42703456619.69611,USD,17.600474476004365,16.504217851996668,Technology services,Packaged software,2026-12-09
VAI,Valor Energy Incorporated,2.14,USD,70.95382648985462,39.869281045751634,46.57534246575344,3.883495145631071,11.228204272363138,71664,1312300.3333333333,1.0605843099705048,31153026.10679612,USD,-15.620601452442532,-41.17742707916221,Finance,Finance/Rental/Leasing,
SGMT,Sagimet Biosciences Inc. - Series A,11.17,USD,70.53435114503817,130.78512396694217,7.300672430355425,6.787762906309743,4.514004348382158,1018543,1134676.5,1.037631476161767,687973257.627151,USD,,,Health technology,Pharmaceuticals: major,2026-11-12
CAI,"Caris Life Sciences, Inc.",30.92,USD,70.1706108970831,64.46808510638297,45.09619896762086,9.60652250974832,4.6082517094806645,7525931,5442228.5,1.6503401154981143,8737842815.658278,USD,45.37756755862799,85.37205346840301,Health technology,Biotechnology,2026-11-11
IOND,Ionic Digital Inc.,84.85,USD,69.69999999999999,69.69999999999999,28.560606060606055,1.7020256502456996,6.048834076942526,1104128,646407.2666666667,1.8577101766319413,3817925689.529545,USD,,,Technology services,Data processing services,2026-12-02
ENSC,"Ensysce Biosciences, Inc.",0.4525,USD,69.34880239520959,-19.340463458110523,14.267676767676766,1.0495757034390436,9.363062352012625,390977,18914037.966666665,0.5464681822197117,8804199.938588655,USD,-15.102614919522427,-39.291573112668644,Health technology,Biotechnology,2026-11-16
PD,"PagerDuty, Inc.",14.44,USD,68.9877121123464,111.42020497803807,22.372881355932194,-0.2762430939226583,3.926691729323116,1096526,1451313.9666666666,0.7177289173684185,1135704113.2265193,USD,0.8305580539822219,2.300416866553076,Technology services,Packaged software,2026-11-26
OKTA,"Okta, Inc.",190.02,USD,68.7341828353239,136.46092583374815,32.32590529247912,1.0099936210929223,4.646281594418671,3664354,3789591.2,0.9909783169794437,33219439050.353394,USD,10.576923076923077,11.219688744118711,Technology services,Packaged software,2026-12-08
DOCU,"DocuSign, Inc.",70.64,USD,68.03044719314939,50.23394300297744,17.08934195259407,0.3409090909090836,3.953901067788475,3114497,3295453.6,0.7988925535293155,13202789394.107954,USD,9.381291872960997,8.587977755105864,Technology services,Packaged software,2026-12-03
EMBC,Embecta Corp.,5.19,USD,67.41935483870968,-43.648208469055376,1.1695906432748635,1.1695906432748635,5.281723093861267,570875,1601126.0666666667,0.5100906131800713,294063327.0350877,USD,-8.054145516074449,-7.600907029478458,Health technology,Medical specialties,2026-12-01
LHAI,Linkhome Holdings Inc.,1.24,USD,65.33333333333333,4.201680672268911,67.61286834279534,-3.1250000000000027,11.197160138248803,569226,3605272.6,0.054010257286300385,20497200.000000004,USD,12.755784076693761,40.94845411112406,Technology services,Packaged software,
CELU,Celularity Inc.,1.27,USD,64.38001553196999,3.2520325203252063,79.12552891396335,-1.5503875968992262,18.88301462317214,75043,8185576.633333334,0.2929832458856513,36761369.79069767,USD,-77.36598279285242,-51.03282921431206,Commercial services,Miscellaneous commercial services,2026-11-13
ZETA,Zeta Global Holdings Corp.,30.37,USD,63.36740182894029,76.56976744186048,6.337535014005611,-1.555915721231768,4.546568512159546,5697475,7156526.8,1.0280018095798138,7623282939.462561,USD,43.5491923927351,35.90911804427817,Technology services,Packaged software,2026-11-10
EFOR,"Everforth, Inc.",32.93,USD,63.14094624721328,-6.475433115592164,4.772510340439071,1.5417823003391922,4.9645351611640915,739610,690284.1666666666,0.9910304647971873,1350130013.2004318,USD,-1.3325494806976288,-0.9513346150965067,Technology services,Information technology services,2026-10-28
