Symbol,Description,Price,Price - Currency,"Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Upcoming earnings date
QUCY,Quantum Cyber N.V.,1.31,USD,127.39107793785804,-10.27397260273972,0,8.139040348964205,321906,822445.4333333344,0.35436186111475604,110129326.00000001,USD,-100,,Health technology,2027-03-03
PYXS,"Pyxis Oncology, Inc.",3.34,USD,116.88311688311686,10.231023102310234,0.30030030030029387,9.803678357570533,639839,1347862.5,0.48666969136997384,278582882.4864865,USD,-100,291.4184397163121,Health technology,2026-11-17
INTC,Intel Corporation,101.05,USD,115.22896698615546,-2.4142926122646067,4.025118385834874,4.116144765674734,118198061,97284235.73333333,1.2909414630334561,534160954260.94714,USD,25.421883505715844,7.465611456566798,Electronic technology,2026-10-22
SMTC,Semtech Corporation,167.55,USD,114.25831202046035,15.72731040198923,11.026439599761458,5.98138721916696,4993772,3102082.3333333335,1.8470660121377824,15636708439.050428,USD,32.719564888252215,17.841509161302753,Electronic technology,2026-12-02
HNGE,"Hinge Health, Inc.",93.73,USD,111.53238546603475,7.2671091783016815,1.4503734170364795,4.742878480742614,1733524,1880902.3333333333,0.9505814176654899,7563487871.149475,USD,52.99788638226286,49.76497210863696,Technology services,2026-11-03
MU,"Micron Technology, Inc.",926.55,USD,108.72239054773998,-7.3032864789155125,-0.11319534282018845,4.0079773661123985,19975994,27505277.766666666,0.7846269660909231,1046439118136.4851,USD,345.71551446081065,166.98015556147044,Electronic technology,2026-09-30
FTNT,"Fortinet, Inc.",171.77,USD,107.05159112825461,7.322711652608559,-0.34808841445726885,4.320079175641801,3899918,4266528.033333362,0.9888046201168389,126029985460.64246,USD,25.63803680981595,18.768046198267566,Technology services,2026-10-29
TH,Target Hospitality Corp.,18.76,USD,105.25164113785559,5.452501405283881,0.05333333333334167,4.724565945781294,1875223,1734925.0333333334,0.7621197170047502,1868935372.2069335,USD,38.712138428075185,11.916283805117565,Consumer services,2026-11-11
DRTS,Alpha Tau Medical Ltd.,15.04,USD,104.62585034013605,4.444444444444436,1.1432414256893069,4.541935790273661,668243,588870.2333333333,1.3741189969700178,1358501139.5184937,USD,,,Health technology,2026-11-24
MRX,Marex Group Limited,72.38,USD,104.3478260869565,1.9149535342157131,5.818713450292382,4.5015690995934206,725780,736949.9333333333,0.7881150966423178,5206356491.233333,USD,33.95195263621318,,Technology services,2026-11-05
