Symbol,Description,Price,Price - Currency,"Performance %, 3 months","Performance %, 6 months","Performance %, 1 month","Price change %, 1 day",Average daily range %,"Volume, 1 day","Average volume, 30 days","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,"Revenue growth %, Quarterly YoY","Revenue growth %, TTM YoY",Sector,Industry,Upcoming earnings date
ELF,"e.l.f. Beauty, Inc.",96.76,USD,48.861538461538466,31.646258503401366,5.621657024342327,-0.1547827881539485,4.296300124018306,1823667,2170611.3666666667,1.1284894186964571,5709613870.325045,USD,35.516016045728634,31.228295944455493,Consumer non-durables,Household/Personal care,2026-11-11
WGS,GeneDx Holdings Corp.,89.74,USD,48.06137601055931,19.54176102304516,14.056939501779343,5.248343399988265,4.715797780890946,517315,655515.8666666661,1.1411054041564295,2676274745.809652,USD,11.440034277256261,25.420828491862192,Health services,Medical/Nursing services,2026-11-03
LHAI,Linkhome Holdings Inc.,1.08,USD,47.94520547945206,-16.92307692307692,35,3.8461538461538494,11.498855820105762,188928,3562909.566666667,0.018128813545400253,17852400,USD,12.755784076693761,40.94845411112406,Technology services,Packaged software,
SY,So-Young International Inc. - American Depository Shares,2.62,USD,47.19101123595507,-21.556886227544904,19.90846681922197,-3.321033210332098,7.130316248636838,310828,774224.4333333333,0.1572092430910157,272664965,USD,41.74897133284622,30.17546889785062,Technology services,Internet software/Services,2026-11-23
BMEA,"Biomea Fusion, Inc.",1.78,USD,47.10743801652893,47.10743801652893,40.15748031496063,2.2988505747126458,8.979534510433524,1541359,1691791.5333333334,0.771383541758563,129021250.954023,USD,,,Health technology,Pharmaceuticals: major,2026-11-03
NMAX,"Newsmax, Inc.",11.4,USD,47.09677419354839,60.56338028169015,15.209701869631136,0.08779631255487082,4.8194862155388405,1588711,1211866,1.421863049232976,1472431403.4942932,USD,16.528387839519528,,Consumer services,Broadcasting,2026-11-12
MANH,"Manhattan Associates, Inc.",211.54,USD,46.89257690438164,52.85786545270613,4.26853312302839,4.816172827271826,3.1544219938142786,829119,787636.4,1.4666996405597992,12333834562.95937,USD,9.313892834987024,6.476661403624881,Technology services,Packaged software,2026-10-27
CBAT,CBAK Energy Technology Limited,1,USD,46.75667742882301,0,35.13513513513514,0,7.127142857142821,504689,562547.6666666666,0.783917763727597,88645836,USD,99.25638760074337,50.50531955257986,Producer manufacturing,Electrical products,
VIOT,"Viomi Technology Co., Ltd",1.35,USD,46.739130434782616,-8.163265306122442,87.76077885952714,-3.5714285714285587,17.024333333333363,385412,2457665.1666666665,0.05425009135591404,92327979,USD,,-36.89853419027676,Consumer durables,Electronics/Appliances,2027-03-29
MMED,"MiniMed Group, Inc.",21.97,USD,46.07712765957447,30.696014277215944,9.466865969108115,-2.3555555555555605,5.174848819819207,4386491,1756149,1.681720714555454,6181258293.114666,USD,16.43646408839779,,Health technology,Medical specialties,2026-12-30
MATV,"Mativ Holdings, Inc.",11.81,USD,45.26445264452644,37.166085946573766,-2.7983539094650194,-1.0887772194304774,3.646546510221544,427099,621133.0666666667,0.9016498478633846,651795032.5335009,USD,1.2181195279786716,1.0623697453362475,Process industries,Industrial specialties,2026-11-11
FWDI,"Forward Industries, Inc.",6.95,USD,43.59504132231406,32.12927756653993,69.92665036674818,6.106870229007639,7.630318602261045,1706137,1731348.1,0.7914784562807518,513235870.11450386,USD,332.09255045256697,171.5850214312161,Finance,Financial conglomerates,2026-12-17
SLE,"Super League Enterprise, Inc.",4.57,USD,43.2601880877743,-10.742187499999996,47.41935483870969,-6.924643584521382,8.567677399187241,152817,2685548.3333333335,0.4044070168455951,11302390.902240327,USD,0.26657780739753417,-14.297289334119034,Technology services,Internet software/Services,2026-11-12
QNRX,"Quoin Pharmaceuticals, Ltd.",6.88,USD,43.03534303534305,-13.021491782553733,37.6,1.3254786450662719,10.635693521594703,10226,1119748.7,0.0030889088929252056,13637155,USD,,,Health technology,Pharmaceuticals: major,2026-11-05
DGNX,Diginex Limited,1.4,USD,42.857142857142854,-70.52879757494107,13.821138211382108,2.1897810218977956,7.856632653061088,151865,860645.4,0.3952788815948897,40782182.91970803,USD,,77.19026052118593,Technology services,Packaged software,
MGNI,"Magnite, Inc.",23.84,USD,42.15861657722123,96.69966996699671,-3.4817813765182164,0.29448885149348036,3.920991131351891,1403987,2646235.8333333316,0.6236140947862224,3419232131.661758,USD,11.24489419149378,8.315889962252253,Technology services,Packaged software,2026-11-11
SDGR,"Schrodinger, Inc.",20.75,USD,41.252552756977536,72.91666666666667,12.405200433369442,9.095688748685598,5.053012048192775,1949974,1115770.1333333333,2.2140954374151467,1552216791.298633,USD,7.54213919173104,8.87620472685854,Technology services,Packaged software,2026-11-11
BTGO,"BitGo Holdings, Inc.",7.88,USD,41.21863799283154,-25.730442978322333,44.05850091407678,3.006535947712412,5.931472081218291,1362654,1708222.9,0.8294157884171496,926259504.1411766,USD,2201.890153126329,,Technology services,Data processing services,2026-12-02
UROY,Uranium Royalty Corp.,4.24,USD,40.397350993377486,15.846994535519126,3.1630170316301673,-2.6406429391504065,5.696428571428516,3962212,2787338.3333333335,1.266406510016749,1615725451.793341,USD,426255.01741044334,132.4100214858637,Non-energy minerals,Other metals/Minerals,2026-09-14
VFF,"Village Farms International, Inc.",2.84,USD,38.53658536585366,5.576208178438659,14.056224899598378,-1.3888888888888902,4.361670020120624,641558,1021393.4,0.9396051788874351,347293107.77777773,USD,6.808127014507924,-23.876921045008697,Process industries,Agricultural commodities/Milling,2026-11-11
HPQ,HP Inc.,34.02,USD,38.12423873325215,82.90322580645162,8.690095846645374,-4.114994363021403,4.937347778617588,19599253,15476906.300000103,1.193301446575755,30678929956.156715,USD,11.143383394729385,8.674553179021387,Technology services,Information technology services,2026-12-01
BFRI,Biofrontera Inc.,1.36,USD,37.37373737373739,58.13953488372095,6.250000000000005,-12.258064516129028,8.319327731092457,2364268,706610.1666666666,2.867888073824948,20199208.722580645,USD,32.923588039867106,17.826430886218073,Health technology,Pharmaceuticals: major,2026-11-18
NTNX,"Nutanix, Inc.",67.69,USD,37.19092014592621,64.29611650485435,-1.5131674668994706,2.6850728155339745,3.2243737205325655,2556342,2605393.8333333335,1.21187225617107,18297993838.92218,USD,15.891052203769668,12.436055095359324,Technology services,Packaged software,2026-12-02
ESTC,Elastic N.V.,85.11,USD,36.89882580022519,54.82990722212116,-1.046389954656442,2.062597433745052,5.185239270187996,2371230,2902378.2333333334,0.6461697134342248,8935807741.595156,USD,15.128055710735683,16.180880938443646,Technology services,Packaged software,2026-12-02
BOX,"Box, Inc.",34.86,USD,36.065573770491795,44.10913600661429,3.8736591179976076,3.288888888888887,3.2449184493073906,2342735,2989905.3,0.8490859985103252,4782818489.468444,USD,9.23404501375855,9.626509277749747,Technology services,Information technology services,2026-12-08
DXC,DXC Technology Company,12.12,USD,35.41899441340782,3.5012809564474665,7.25663716814158,6.409130816505694,3.568481848184255,2753669,2629957.7999999993,1.2177271799615972,1936517738.6549606,USD,-5.064893953782843,-2.4230107863060812,Technology services,Data processing services,2026-11-04
FRNM,"Freenome, Inc.",14.96,USD,33.33333333333333,34.65346534653467,27.863247863247878,4.105775922059859,5.517522918258194,755693,863599.2333333333,0.8187145336880803,1607404346.6221297,USD,,,Health technology,Medical specialties,2026-12-02
BULL,Webull Corporation,9.04,USD,32.74596182085168,67.5625579240037,13.710691823899358,-1.9522776572668272,5.374841972187483,11389006,15445079.633333333,0.8047445378355402,4789070319.149674,USD,51.20998894620909,47.936676799564324,Technology services,Packaged software,2026-11-19
SRPT,"Sarepta Therapeutics, Inc.",20.92,USD,32.65694356372861,26.176115802171314,14.818880351262365,2.298288508557469,7.406719475553201,2192857,3085090.1666666665,0.6478296365787343,2209717378.0889974,USD,-34.33858459705674,-20.43847125020804,Health technology,Pharmaceuticals: major,2026-11-04
BLSH,Bullish,37.62,USD,32.604864293267525,-4.9039433771486465,37.24917913170375,7.118451025056947,5.154268246373532,2172677,1564799.1333333333,1.7338241005777055,5654368604.393509,USD,65.77618621312804,,Technology services,Packaged software,2026-11-25
PAYP,PayPay Corporation - American Depository Shares,18.68,USD,32.200990799716905,-6.5065065065065095,26.301555104800546,1.2466124661246636,4.307318751911943,514404,839772.2,0.4942964646834937,12336139140,USD,16.415106457972854,,Commercial services,Miscellaneous commercial services,2026-12-02
ALVO,Alvotech,5.05,USD,31.16883116883116,33.24538258575197,21.686746987951793,-4.536862003780722,4.348186704384752,674191,916375.3333333334,0.9011466850338015,1971678845.8884687,USD,-38.9444640063727,-12.166128663657659,Health technology,Biotechnology,2026-11-11
SMMT,Summit Therapeutics Inc.,18.42,USD,30.36093418259024,17.624521072796945,35.34166054371787,4.957264957264963,4.592911431673736,7058776,5729008.366666666,1.1698045679939866,14694547615.206839,USD,,,Health technology,Biotechnology,2026-11-11
AYA,Aya Gold & Silver Inc.,26.91,USD,29.937228392081114,76.45901639344262,-2.3584905660377307,-3.789774758669999,6.032728141423756,2784106,1119031.4666666666,2.4798373915669143,3876013397.739939,USD,140.19103550703832,249.71007353483225,Non-energy minerals,Precious metals,2026-11-17
